,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,centroid-0,centroid-1,centroid-2,extent,major_axis_length,mean_intensity,min_intensity,max_intensity,label,solidity,minor_axis_length,volume,bbox_volume,convex_volume,filled_volume,width,length,height,height_deviation,elongation,aspect_ratio,surface_area,sphericity,surface/volume,int_0.0-0.5,int_1.0-1.5,int_ratio,2D_slide_area,2D_slide_bbox-0,2D_slide_bbox-1,2D_slide_bbox-2,2D_slide_bbox-3,2D_slide_centroid-0,2D_slide_centroid-1,2D_slide_major_axis_length,2D_slide_minor_axis_length,2D_slide_perimeter,2D_slide_roundness,2D_slide_EOP,DIRs_bbox-0,DIRs_bbox-1,DIRs_bbox-2,DIRs_bbox-3,DIRs_bbox-4,DIRs_bbox-5,DIRs_centroid-0,DIRs_centroid-1,DIRs_centroid-2,DIRs_extent,DIRs_major_axis_length,DIRs_mean_intensity,DIRs_min_intensity,DIRs_max_intensity,DIRs_label,DIRs_solidity,DIRs_volume,DIRs_bbox_volume,DIRs_convex_volume,DIRs_filled_volume,DIRs_width,DIRs_length,DIRs_height,DIRs_elongation,DIRs_aspect_ratio,DIRs_surface_area,DIRs_sphericity,DIRs_surface/volume,DIRs_domain_num,DIRs_include,DIRs_n,DIRs_centroid_distance2border,DIRs_mean_distance2border,DIRs_min_distance2border,im_path,im_batch,condition,n_masks
0,3,3,3,76,69,71,38.0395429129726,36.2468560413517,33.6662023620124,0.462362342197153,7.22099765384269,-1.68487764594258E-16,-1.41036229936178,6.11558631550495,1,0.911723282856249,6.24213094791339,151.481,327.624,166.148,151.481,7.3,6.6,6.8,1.62218833823271,0.904109589041096,1.03030303030303,155.17458984375,0.885595961325472,1.02438318893954,-0.205232855255715,-0.0285139394864579,0.138934574831746,35.8,3,4,69,76,34.5606145251397,38.4715083798883,7.05452785004114,6.50496866972658,22.5379725676967,0.885652185712782,0.0577257472907153,28.4705882352941,27.6470588235294,23.7058823529412,41.5882352941176,41.8235294117647,45.7647058823529,34.4584619775568,34.5045140634326,34.0742909977952,0.303520951590655,2.26628015341337,1.38171071478039,0.600977767991642,3.25036832899709,11.8823529411765,0.706420526655264,1.48305882352941,5.7794705882353,2.23435294117647,1.48305882352941,1.31176470588235,1.41764705882353,2.20588235294118,1.12355150616396,1.92359012728645,27.5629174804688,0.20384585499935,48.3306909134779,11.8823529411765,1,17,7.18520981049574,6.47728627182153,3.01296352528173,res_0.1_z_score_norm/young/Image_17_20201218expY1RhoAAF488_img.npz,8expY1RhoAAF488,Young,0
1,3,3,3,61,57,63,31.1430181739079,28.4333656337137,30.5190934799375,0.538175819497659,6.39265289194768,7.14940858573257E-16,-2.18191824146796,2.95425337572394,1,0.938860007426662,5.11801815260242,101.134,187.92,107.72,101.134,5.8,5.4,6,1.62710140195449,0.931034482758621,1.11111111111111,117.0337109375,0.8969562730743,1.15721429922182,-0.67165666705662,0.510312481440126,-0.759781755277518,24.15,3,3,57,60,29.7238095238095,30.8074534161491,5.96948012409717,5.18821470698245,18.4610173055266,0.890462716368556,0.0520324032190574,23,19.3333333333333,13.6666666666667,42.1666666666667,37.8333333333333,45,32.4248473010084,27.9059524522802,29.7675053782445,0.364101803723984,3.12862869077765,1.34071048395717,0.600299932894679,2.69082292598208,3.5,0.791707427220014,4.12066666666667,12.177,5.377,4.12066666666667,1.91666666666667,1.85,3.13333333333333,0.978665413533835,1.72011452241715,26.7132958984375,0.452248303859699,7.9679648729393,3.5,1,6,9.96606210218473,8.09338278979072,2.74535599249993,res_0.1_z_score_norm/young/Image_25_20191219PlaminYoungSlide11exp20191209_img.npz,de11exp20191209,Young,0
2,3,3,3,78,75,79,41.0653752456721,38.2515211072013,39.8589224558967,0.414088693957115,8.16109483668259,1.33794868509981E-18,-1.50569565865587,7.03617113780703,1,0.856644537531316,5.99360919126448,169.942,410.4,198.381,169.942,7.5,7.2,7.6,1.61006545214713,0.96,1.05555555555556,183.90173828125,0.806799165256354,1.0821441331822,-0.164889778318944,-0.266323515071577,1.61516085343041,37.09,3,3,75,77,38.0388244809922,39.8074952817471,7.11041778541452,6.7131284149859,24.717871555019,0.762859493281226,0.138104261782621,35.3225806451613,33.5483870967742,27.8064516129032,47.4516129032258,46.0967741935484,49.1612903225806,40.6793922326206,39.0980890512525,37.5285885451165,0.304540950179811,2.14341861643672,1.41233701673817,0.601375006917826,3.46856488813736,23.5806451612903,0.73895931603579,1.007,3.97248387096774,1.46458064516129,1.007,1.21290322580645,1.25483870967742,2.13548387096774,1.09199889564917,1.89064523990153,46.4324853515625,0.0986412399695578,75.6139942839836,23.5806451612903,1,31,6.28718776608222,5.77414076119078,2.53392856503001,res_0.1_z_score_norm/young/Image_14_20220502_20220419exp_YRhoAGTPCy3H4K16ac_img.npz,oAGTPCy3H4K16ac,Young,0
3,3,3,3,73,68,79,39.5724288719141,31.6511264253293,38.1973735193181,0.417952573742047,7.37079040007444,2.06091217501546E-16,-1.60927650339195,3.98513869874915,1,0.86800996967058,6.05536813704025,144.528,345.8,166.505,144.528,7,6.5,7.6,1.82743750169271,0.928571428571429,1.16923076923077,158.24072265625,0.841654523984544,1.09487934971943,-0.173122996902232,-0.188875882445831,1.09099244944619,31.01,3,4,68,71,37.8019993550468,39.1235085456304,6.71012886513652,6.17669635330397,22.1480230740355,0.794404500121898,0.0936620396228706,33.0434782608696,26.3478260869565,24.6521739130435,46.7391304347826,40.2608695652174,45,39.530720045553,32.6352330299614,34.9035002143526,0.316657383413992,2.06033301237287,1.38424265745423,0.600851577288424,2.87803870122741,17.3478260869565,0.731705268886189,1.32091304347826,4.78626086956522,1.90269565217391,1.32091304347826,1.3695652173913,1.39130434782609,2.03478260869565,1.08174353523097,1.53995607830646,52.3844140625,0.103592985393909,76.0423026557734,17.3478260869565,1,23,8.80542239638503,7.73198434749827,3.54510989939313,res_0.1_z_score_norm/young/Image_12_Y_220427_20220427_20220419exp_YRhoAGTPCy3_img.npz,exp_YRhoAGTPCy3,Young,0
4,3,3,3,78,71,65,39.4063518798527,37.8521063410339,30.8154088592008,0.495702087286527,7.65213902951487,2.4080508688586E-16,-1.57238161370776,5.94695793440699,1,0.90965068568676,5.89229738828696,156.741,316.2,172.309,156.741,7.5,6.8,6.2,1.57871595815791,0.906666666666667,0.911764705882353,160.08107421875,0.8782116824116,1.02130951198952,-0.262797389204154,-0.0718056046749394,0.273235608970062,38.33,3,3,71,78,34.9715627445865,39.1014870858336,7.52065423830878,6.52396947005721,23.7379725676967,0.854793942813009,0.0746499472789832,37.24,28.96,20.08,51.76,42.44,40.4,43.9604628346768,35.2404530112775,29.8007882262956,0.295681051550698,2.04248674197495,1.38638088711314,0.601000343372487,3.46771335482097,19.72,0.71900383716922,1.27312,4.75356,1.83428,1.27312,1.452,1.348,2.032,1.05434909293605,1.53839963957611,59.2880078125,0.0902658418316927,86.6993540098883,19.72,1,25,7.73157446109111,7.07932544723371,3.06980240321115,res_0.1_z_score_norm/young/Image_61_20201119expRhoAAF488YoungRFPcellsSlide3_img.npz,gRFPcellsSlide3,Young,0
5,3,3,3,64,60,64,32.9239893098794,31.5857935805647,30.4618829270909,0.527489780619245,6.30067240412098,3.71914144800288E-16,-1.70719115493988,4.52552619728881,1,0.927855827762942,5.77602521507546,111.879,212.097,120.578,111.879,6.1,5.7,6.1,1.48401088652752,0.934426229508197,1.07017543859649,125.17154296875,0.89703812768149,1.11881177851742,-0.412872745756227,0.13226435902735,-0.320351392497685,26.39,3,3,60,62,30.7305797650625,32.2345585449034,5.93306113816235,5.71496360909614,19.6267027304759,0.860903681492231,0.072598336705105,29.0588235294118,27.3529411764706,17.5294117647059,42.3529411764706,39.7647058823529,37.9411764705882,35.3726398809357,33.1576259578075,27.3057707223181,0.312546747098287,2.00988692142318,1.21354619485264,0.600998433067511,2.56534923540034,14.4705882352941,0.743326649534844,1.30341176470588,5.57341176470588,1.97582352941176,1.30341176470588,1.32941176470588,1.24117647058824,2.04117647058824,0.976149283242709,1.74978135675067,39.5057495117188,0.127494472446468,75.9561622882556,14.4705882352941,1,17,8.10695228613331,7.16211648930919,3.33847004195141,res_0.1_z_score_norm/young/Image_9_20201218expSlide7Y1TazCy3_img.npz,pSlide7Y1TazCy3,Young,0
6,3,3,3,76,70,70,39.1243828126882,35.1212095667044,35.8827765601291,0.506797437877063,7.72111313009771,-1.84827706500857E-17,-1.47118585626456,5.48276166912563,1,0.907896175460847,6.22319942192558,166.076,327.697,182.924,166.076,7.3,6.7,6.7,1.88390363478334,0.917808219178082,1,166.748671875,0.876246558106822,1.00405038581734,-0.14746400355155,-0.256197257287147,1.73735454834295,35.49,5,3,69,73,36.8548887010425,38.2893772893773,7.01613671131894,6.53343568051604,22.9580735803744,0.846145358440628,0.0783312567946628,31.1764705882353,30.3529411764706,26.2647058823529,45.3235294117647,42.0882352941177,44.5882352941177,37.7038804777836,35.7736161209894,34.6276129572554,0.301305404812409,1.91215228012493,1.44234783448115,0.600934076663351,3.45482185110558,20.8529411764706,0.730253621162939,0.940735294117647,3.41379411764706,1.33611764705882,0.940735294117647,1.41470588235294,1.17352941176471,1.83235294117647,0.88837126333197,1.65782666694044,42.654794921875,0.103392167779644,69.0851591420216,20.8529411764706,1,34,6.79766414420135,6.29359095996253,3.01923182632912,res_0.1_z_score_norm/young/Image_24_20201218expY2RhoAAF488_img.npz,8expY2RhoAAF488,Young,0
7,3,3,3,60,69,74,29.3552531533132,34.3837839758394,37.7693018298099,0.526858653248572,8.1042758551426,-4.00701165464001E-16,-1.79566347700725,5.46575724829249,1,0.904233786762107,5.0617941425572,140.725,267.102,155.629,140.725,5.7,6.6,7.1,1.90850225399223,1.15789473684211,1.07575757575758,153.1704296875,0.854194358260633,1.08843794412862,-0.411446040433071,0.0465227010811102,-0.113071208638057,26.4,3,3,68,59,35.8371212121212,29.2462121212121,7.04594145697391,4.81399866861292,19.8752308678997,0.83982621469714,0.0574820391002716,22.7272727272727,29.4545454545455,28.0909090909091,35.4090909090909,43.1363636363636,50.4545454545455,28.7493212093541,35.9184465947682,38.378724537591,0.300674865317117,2.23046404241976,1.27526694231633,0.601158855005853,2.89771431220873,13.1363636363636,0.73179439487802,1.32959090909091,4.91495454545455,1.87422727272727,1.32959090909091,1.26818181818182,1.36818181818182,2.23636363636364,1.14586442851641,1.73947876247342,34.809580078125,0.154994946768606,53.9887778262362,13.1363636363636,1,22,6.70442432734796,6.27730477475322,2.64949778947982,res_0.1_z_score_norm/young/Image_24_20191219PlaminYoungSlide11exp20191209_img.npz,de11exp20191209,Young,0
8,3,3,3,74,75,79,35.845414305949,36.7570408404155,41.3358238904627,0.436125525080306,8.09369336630607,-2.45570010659298E-16,-1.57874637860187,5.66573643518026,1,0.902356543735854,6.21653577471193,169.44,388.512,187.775,169.44,7.1,7.2,7.6,1.83180211919164,1.01408450704225,1.05555555555556,170.25724609375,0.869739408254465,1.00482321821146,-0.258836983458116,-0.100285347830837,0.387445976579561,35.62,3,3,75,72,39.6128579449747,34.7344188658057,7.38319070606425,6.2245515996111,22.9036579926459,0.853284937103809,0.0695771567973376,29.0434782608696,25.9130434782609,28.9130434782609,44.5652173913044,39.6521739130435,50.3478260869565,36.3606937191218,32.2700062881017,39.6473038242649,0.277411992328805,2.23253530210363,1.34231227062139,0.600729147136512,3.2634738282382,17.4347826086957,0.697585437715219,1.38626086956522,5.70404347826087,2.06152173913043,1.38626086956522,1.55217391304348,1.37391304347826,2.14347826086956,0.932903250486371,1.69627637646378,43.304345703125,0.128734050476251,57.6178752285913,17.4347826086957,1,23,7.28496728252105,6.58343231786409,3.09695725157047,res_0.1_z_score_norm/young/Image_12_20201218expSlide7Y1TazCy3_img.npz,pSlide7Y1TazCy3,Young,0
9,3,3,3,84,73,71,44.6898518075258,35.1264916047731,36.1368639046312,0.442094615624027,8.23331550691615,1.4139656210463E-16,-1.5199005963113,5.1264587668972,1,0.907466659568238,6.16163636479506,170.454,385.56,187.835,170.454,8.1,7,6.8,1.72340253060522,0.864197530864197,0.971428571428572,171.54921875,0.866629585897369,1.00642530389431,-0.278644319831552,-0.0587106442312338,0.210701026551433,38.3,4,3,73,84,39.8496083550914,42.9365535248042,8.02003156434249,6.14446538207403,23.917871555019,0.841324583954347,0.0702862028780609,34,27.2352941176471,22.9411764705882,49.6470588235294,41.4117647058824,45.5294117647059,41.5106177759126,33.9642201947373,33.8512892076139,0.322290400381444,2.30997142079775,1.54423282672576,0.600706151980708,3.85487626752938,12.9411764705882,0.752299060239533,1.73929411764706,6.24182352941177,2.42623529411765,1.73929411764706,1.56470588235294,1.41764705882353,2.25882352941176,1.07585867764416,1.63657230568995,31.4801806640625,0.207409573534173,36.5178738015596,12.9411764705882,1,17,6.92348407908931,6.05712035408535,2.44365708500207,res_0.1_z_score_norm/young/Image_5_20201218expSlide7Y1TazCy3_img.npz,pSlide7Y1TazCy3,Young,0
