,Z_res,X_res,Y_res,num_Zs,num_Xs,num_Ys,num_channels,path,condition,sigma_noise,pixel_sum,pixel_mean,pixel_max,pixel_min
0,0.368961137123203,0.013178822554981574,0.013178822554981574,20,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 24_Y_NaB.czi,aged_treated_NaB,2.025397854108964,208046987,9.920453405380249,255,0
1,0.368961137123203,0.013178822554981574,0.013178822554981574,18,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 22_Y_NaB.czi,aged_treated_NaB,2.111459306790045,140032091,7.419167147742377,249,0
2,0.368961137123203,0.013178822554981574,0.013178822554981574,21,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 23_Y_NaB.czi,aged_treated_NaB,1.8977968769249414,185468962,8.42271359761556,255,0
3,0.368961137123203,0.013178822554981574,0.013178822554981574,20,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 25_Y_NaB.czi,aged_treated_NaB,2.03841910431924,190798169,9.097965669631957,255,0
4,0.368961137123203,0.013178822554981574,0.013178822554981574,21,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 28_Y_NaB.czi,aged_treated_NaB,1.8843142472604513,172659721,7.841006733122326,255,0
5,0.368961137123203,0.013178822554981574,0.013178822554981574,21,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 27_Y_NaB.czi,aged_treated_NaB,1.979384724093221,155295847,7.0524600346883135,253,0
6,0.368961137123203,0.013178822554981574,0.013178822554981574,19,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 18_Y_NaB.czi,aged_treated_NaB,1.872322819433561,199455070,10.01132513347425,255,0
7,0.368961137123203,0.013178822554981574,0.013178822554981574,19,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 16_Y_NaB.czi,aged_treated_NaB,1.9226406783610799,155096404,7.784813529566715,255,0
8,0.368961137123203,0.013178822554981574,0.013178822554981574,19,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 20_Y_NaB.czi,aged_treated_NaB,1.9982019050528712,136393825,6.846067779942563,243,0
9,0.368961137123203,0.013178822554981574,0.013178822554981574,19,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 29_Y_NaB.czi,aged_treated_NaB,1.932403584820175,224448449,11.265827429922004,255,0
10,0.368961137123203,0.013178822554981574,0.013178822554981574,18,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 30_Y_NaB.czi,aged_treated_NaB,2.1326904484957327,206677956,10.950192133585611,255,0
11,0.368961137123203,0.013178822554981574,0.013178822554981574,20,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 19_Y_NaB.czi,aged_treated_NaB,2.014498061791538,217167554,10.355355930328368,255,0
12,0.368961137123203,0.013178822554981574,0.013178822554981574,19,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 26_Y_NaB.czi,aged_treated_NaB,1.8380704275175994,128826616,6.466243944670024,232,0
13,0.368961137123203,0.013178822554981574,0.013178822554981574,21,1024,1024,3,../data/raw_data/aged_treated_NaB/20220830exp_20220920wtTAMNaBPcPla2a/Image 17_Y_NaB.czi,aged_treated_NaB,1.912939585028065,194551922,8.8351986294701,255,0
14,0.368961137123203,0.013178822554981574,0.013178822554981574,26,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/2_NaB.czi,aged_treated_NaB,1.6151682837736991,135845668,4.982789406409631,250,0
15,0.368961137123203,0.013178822554981574,0.013178822554981574,26,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/6_NaB.czi,aged_treated_NaB,1.544941608377066,119152820,4.37049939082219,218,0
16,0.368961137123203,0.013178822554981574,0.013178822554981574,25,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/4_NaB.czi,aged_treated_NaB,1.600594018599744,143308586,5.466788711547852,240,0
17,0.368961137123203,0.013178822554981574,0.013178822554981574,26,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/8_NaB.czi,aged_treated_NaB,1.5421280813028917,96323558,3.533127051133376,178,0
18,0.368961137123203,0.013178822554981574,0.013178822554981574,25,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/9_NaB.czi,aged_treated_NaB,1.427379477728117,97069630,3.702912521362305,189,0
19,0.368961137123203,0.013178822554981574,0.013178822554981574,25,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/7_NaB.czi,aged_treated_NaB,1.4744842432533245,98456637,3.755822639465332,184,0
20,0.368961137123203,0.013178822554981574,0.013178822554981574,25,1024,1024,3,../data/raw_data/aged_treated_NaB/220525exp_220603YNaB_H4K16ac488RhoAGTPcy3/3_NaB.czi,aged_treated_NaB,1.598241870979787,130105160,4.963117980957032,253,0
